,epsilons,values,IDs,srcNode,dstNode,reqDR,provDR,PSD,linSNR,toa,tod,block,Action ID,Path ID,FS ID,Slots,Path length,configID,carry,rset lengths,zero slots,rset slots
119,,,92,2.0,9.0,818,850.0,2.7210884353741498e-05,15.650667541136997,0.0643570737144862,6.136459197581855,1,1,0,1.0,12,3450,37.0,False,33,1020,1020
120,,,93,9.0,2.0,1064,850.0,2.7210884353741498e-05,15.650667541136997,0.14001515516180796,3.952037874931982,1,1,0,1.0,12,3450,37.0,True,33,1020,1020
121,,,93,9.0,2.0,214.0,250.0,2.7210884353741498e-05,15.650667541136997,0.14001515516180796,3.952037874931982,1,1,0,1.0,6,3450,7.0,False,33,1020,1020
122,,,94,13.0,1.0,922,750.0,2.7210884353741498e-05,14.41028222110052,0.22423388388832816,0.28864411943012813,1,8,2,2.0,12,4500,35.0,True,33,1020,1020
123,,,94,13.0,1.0,172.0,200.0,2.7210884353741498e-05,14.41028222110052,0.22423388388832816,0.28864411943012813,1,8,2,2.0,3,4500,3.0,False,33,1020,1020
124,,,95,2.0,9.0,856,850.0,2.7210884353741498e-05,15.650667541136997,0.010970911682016402,25.283721762167975,1,1,0,1.0,12,3450,37.0,True,33,1020,1020
125,,,95,2.0,9.0,6.0,100.0,2.7210884353741498e-05,15.242623010661543,0.010970911682016402,25.283721762167975,0,6,2,0.0,3,3750,1.0,False,34,1032,1032
126,,,96,2.0,13.0,970,850.0,2.7210884353741498e-05,15.272852112295112,0.02890861085265123,7.6362649112137335,1,6,2,0.0,12,3750,37.0,True,34,1032,1032
127,,,96,2.0,13.0,120.0,150.0,2.7210884353741498e-05,15.31022410361729,0.02890861085265123,7.6362649112137335,1,4,1,1.0,3,3750,2.0,False,34,1032,1032
128,,,97,1.0,12.0,450,450.0,2.7210884353741498e-05,14.565536703955605,0.006692666942988949,0.9740010570910379,1,8,2,2.0,9,4350,18.0,False,34,1032,1032
129,,,98,13.0,2.0,450,450.0,2.7210884353741498e-05,15.577600082016431,0.0016531376741166723,5.4860221250057455,0,1,0,1.0,6,3450,11.0,False,35,1050,1050
130,,,99,12.0,2.0,605,650.0,2.7210884353741498e-05,15.781872593742232,0.05518142426548754,0.5220653837501301,1,1,0,1.0,9,3300,22.0,False,35,1050,1050
131,,,100,11.0,3.0,1038,750.0,2.7210884353741498e-05,14.447467076565532,0.02277699734581299,6.979744402274431,1,5,1,2.0,12,4500,35.0,True,35,1050,1050
132,,,100,11.0,3.0,288.0,300.0,2.7210884353741498e-05,14.447467076565532,0.02277699734581299,6.979744402274431,0,5,1,2.0,6,4500,8.0,False,36,1074,1074
133,,,101,1.0,6.0,577,600.0,2.7210884353741498e-05,15.571355606294713,0.12125455965635418,5.839864320166666,0,5,1,2.0,9,3450,21.0,False,37,1101,1101
134,,,102,8.0,3.0,163,200.0,2.7210884353741498e-05,14.990276295941763,0.041388655078155395,4.108389761440348,1,5,1,2.0,3,3900,3.0,False,37,1101,1101
135,,,103,2.0,12.0,359,400.0,2.7210884353741498e-05,15.31022410361729,0.12327661860468575,10.371133286319978,1,4,1,1.0,6,3750,10.0,False,37,1101,1101
136,,,104,2.0,12.0,497,500.0,2.7210884353741498e-05,15.781872593742232,0.12196044942511033,7.446279281268659,1,1,0,1.0,9,3300,19.0,False,36,1077,1077
137,,,105,1.0,6.0,199,200.0,2.7210884353741498e-05,15.376535195689891,0.025518606747773332,6.893187129896548,0,6,2,0.0,3,3600,3.0,False,37,1089,1089
138,,,106,1.0,6.0,358,400.0,2.7210884353741498e-05,15.759286249527541,0.06303461115160572,18.45505004896381,0,0,0,0.0,6,3300,10.0,False,37,1065,1065
139,,,107,1.0,6.0,649,650.0,2.7210884353741498e-05,15.571355606294713,0.0323421453076957,9.486725173056636,0,3,1,0.0,9,3450,22.0,False,38,1092,1092
140,,,108,6.0,1.0,634,650.0,2.7210884353741498e-05,15.571355606294713,0.11389252459108237,3.356724167670957,1,5,1,2.0,9,3450,22.0,False,38,1092,1092
141,,,109,6.0,1.0,709,750.0,2.7210884353741498e-05,15.571355606294713,0.04664612236271734,1.0266222054034633,1,5,1,2.0,12,3450,35.0,False,38,1092,1092
142,,,110,11.0,3.0,125,150.0,2.7210884353741498e-05,14.447467076565532,0.03292435945204274,0.7358310703768054,0,5,1,2.0,3,4500,2.0,False,39,1104,1104
143,,,111,3.0,11.0,627,650.0,2.7210884353741498e-05,14.449323384838964,0.09510648787364942,10.116697747777001,0,6,2,0.0,12,4500,33.0,False,40,1164,1164
144,,,112,1.0,6.0,634,650.0,2.7210884353741498e-05,15.571355606294713,0.20465693780021632,14.407485295564946,1,4,1,1.0,9,3450,22.0,False,40,1164,1164
145,,,113,8.0,3.0,247,250.0,2.7210884353741498e-05,14.832295593275473,0.09299412091891054,22.446820974598893,0,6,2,0.0,6,4050,7.0,False,41,1182,1182
146,,,114,8.0,3.0,367,400.0,2.7210884353741498e-05,14.990276295941763,0.03478294037828157,19.574368278728176,0,3,1,0.0,6,3900,10.0,False,42,1194,1194
147,,,115,3.0,8.0,868,800.0,2.7210884353741498e-05,14.990276295941763,0.1601488444440655,21.95739036656159,0,4,1,1.0,12,3900,36.0,True,43,1218,1218
148,,,115,3.0,8.0,68.0,100.0,2.7210884353741498e-05,14.990276295941763,0.1601488444440655,21.95739036656159,0,3,1,0.0,3,3900,1.0,False,44,1224,1224
149,,,116,6.0,1.0,284,300.0,2.7210884353741498e-05,15.376535195689891,0.03460664556527416,5.7279851824941765,0,6,2,0.0,6,3600,8.0,False,45,1248,1248
150,,,117,2.0,10.0,501,550.0,2.7210884353741498e-05,15.816113918765481,0.04412803083521497,24.10117627339903,0,1,0,1.0,9,3300,20.0,False,45,1236,1236
151,,,118,10.0,2.0,431,450.0,2.7210884353741498e-05,15.376535195689891,0.13082866030483928,20.66459274490248,0,6,2,0.0,6,3600,11.0,False,46,1260,1260
152,,,119,3.0,11.0,251,300.0,2.7210884353741498e-05,15.781872593742232,0.060541532255461064,0.42345840370677085,1,1,0,1.0,6,3300,8.0,False,44,1194,1194
153,,,120,12.0,2.0,678,700.0,2.7210884353741498e-05,15.781872593742232,0.07964068271927524,2.5432287253508634,1,1,0,1.0,12,3300,34.0,False,44,1194,1194
154,,,121,1.0,6.0,1012,850.0,2.7210884353741498e-05,15.571355606294713,0.08142614319835623,22.462987668590493,1,5,1,2.0,12,3450,37.0,True,43,1158,1158
